# python main.py -c models/attNon-bat25-bid-chu750-datdat-dro0.2-entdat-entNon-entNon-entNon-ent-entNon-epo25-fol1-foldat-gatNon-gatNon-gatNon-gatNon-hid500-lea0.0-sce-nontan-nonNon-ada-spe150-tokdat-vocdat-wei1.8-winNon/logs/fixed--1.ini
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9938703	    0.0678	    0.0175	    7.1376	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    0	   18	  0	 2.4138389	   46.9578	    2.3917	   50.0099	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    1	   37	  0	 1.7099818	   60.8584	    9.6714	   67.4167	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    2	   56	  0	 1.3429620	   67.3193	   18.0027	   74.4707	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    3	   73	  0	 1.0267488	   73.8102	   28.6805	   83.2175	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    4	   92	  0	 0.7947642	   79.1114	   43.9019	   86.9334	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    5	  110	  0	 0.6460024	   83.0271	   62.8818	   89.0071	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    6	  128	  0	 0.5113596	   87.5828	   78.3708	   92.0604	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    7	  146	  0	 0.4119031	   90.1807	   85.7427	   93.5502	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    8	  165	  0	 0.3294704	   91.8148	   89.1858	   94.4692	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    9	  184	  0	 0.2642380	   93.6145	   93.1494	   95.3961	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   10	  202	  0	 0.1957048	   95.5648	   94.5493	   96.8101	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   11	  220	  0	 0.1284743	   97.5301	   98.2102	   98.1611	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   12	  239	  0	 0.1060549	   97.9669	   98.2980	   98.7529	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   13	  258	  0	 0.0678945	   99.1416	   99.5304	   99.2984	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   14	  277	  0	 0.0481474	   99.5256	   99.8314	   99.5584	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   15	  295	  0	 0.0325948	   99.7666	   99.5775	   99.8417	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   16	  314	  0	 0.0224919	   99.9247	   99.9769	   99.9400	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   17	  333	  0	 0.0175427	   99.9021	   99.9307	   99.9427	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   18	  352	  0	 0.0147463	   99.9473	   99.9506	   99.9685	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   19	  371	  0	 0.0113718	   99.9925	   99.9990	   99.9945	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   20	  390	  0	 0.0093650	   99.9849	   99.9997	   99.9836	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   21	  409	  0	 0.0072732	   99.9925	   99.9998	   99.9918	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   22	  427	  0	 0.0058318	  100.0000	  100.0000	  100.0000	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   23	  445	  0	 0.0053476	  100.0000	  100.0000	  100.0000	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   24	  463	  0	 0.0047927	  100.0000	  100.0000	  100.0000	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
