# python main.py -c models/bat25-bid-chu750-dattra-ent-ent-ent-ent-epo200-fol5-gat99-gatrel-gatcos-hid500-sce-nontan-ada-spe150-tokdat-win99--2/logs/40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8.ini
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9716821	    0.1977	    0.1149	    7.4209	  10621	 5.9682808	    0.0752	    0.0816	    6.8855	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    0	   15	  0	 2.6799424	   43.2069	    1.5443	   45.5149	  10621	 3.0058706	   43.6630	    3.1704	   47.3159	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    1	   29	  0	 1.9160751	   54.9572	    6.4013	   59.8495	  10621	 2.5548975	   52.6138	    6.5831	   58.9992	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    2	   44	  0	 1.4503579	   64.9562	   14.3414	   72.4299	  10621	 2.4310908	   59.9097	    9.6336	   69.1743	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    3	   59	  0	 1.1363666	   71.4340	   24.5933	   81.3342	  10621	 2.2998707	   61.7525	   10.3299	   73.8342	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    4	   74	  0	 0.9168823	   76.5747	   38.0962	   85.8810	  10621	 2.2351906	   64.3851	   12.4784	   79.0665	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    5	   89	  0	 0.7204674	   81.5460	   51.0327	   89.2088	  10621	 2.1944008	   66.4159	   13.8308	   80.6883	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    6	  104	  0	 0.5603225	   85.5098	   68.6688	   90.6685	  10621	 2.1693957	   67.0177	   15.2710	   80.6405	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    7	  119	  0	 0.5188146	   86.6585	   73.7057	   91.3357	  10621	 2.2286911	   67.7698	   17.1472	   82.5103	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    8	  134	  0	 0.3914291	   90.2363	   83.7449	   93.3234	  10621	 2.2272301	   68.6724	   16.9955	   82.7222	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    9	  149	  0	 0.3044235	   92.9950	   90.4744	   94.9696	  10621	 2.1780360	   69.3870	   17.0698	   83.8734	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   10	  164	  0	 0.2242302	   94.9816	   94.0710	   96.2835	  10621	 2.2594492	   69.1989	   18.0146	   82.7953	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   11	  179	  0	 0.1597929	   96.6011	   96.0717	   97.4221	  10621	 2.2479959	   69.8007	   19.0469	   83.6814	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   12	  193	  0	 0.1133330	   98.1358	   98.0884	   98.4769	  10621	 2.2684557	   70.1392	   19.0814	   82.9859	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   13	  208	  0	 0.0781094	   98.8325	   98.7067	   99.0906	  10621	 2.2796283	   69.9887	   17.4540	   84.0379	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   14	  223	  0	 0.0552498	   99.4633	   99.3510	   99.5695	  10621	 2.3006859	   69.7255	   18.4410	   83.4803	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   15	  237	  0	 0.0392486	   99.6893	   99.5480	   99.7599	  10621	 2.3262475	   70.5528	   18.0761	   83.4739	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
   16	  252	  0	 0.0296497	   99.8399	   99.5259	   99.8703	  10621	 2.3380535	   70.1015	   16.7252	   83.8157	   2659	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
# Stopped after epoch 17 because validation scores did not improve for 5 epochs.
   -1	    0	  1	 5.9834089	    0.2447	    0.0408	    7.1463	  10624	 5.9858532	    0.1506	    0.1606	    7.7250	   2656	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
    0	   15	  1	 2.6429923	   42.0275	    1.9834	   44.6231	  10624	 2.9857693	   39.8343	    2.8833	   43.3569	   2656	40--claF-dro0.2-dro0.0-entF-entT-lea0.0-wei1.8
