# python main.py -c models/attNon-bat25-bid-chu750-cla-datdat-dro0.2-dro0.0-entsta-entdat-entNon-entNon-ent-ent-ent-epo80-fol1-foldat-gatNon-gatrel-gatcos-hid500-lea0.0-sce-nontan-nonNon-ada-spe150-tokdat-vocdat-wei4.3-winNon/logs/fixed--1.ini
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9930253	    0.0904	    0.0259	    7.1911	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    0	   19	  0	 5.8296533	   36.8524	    3.7314	   35.3842	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    1	   37	  0	 5.7816391	   44.4051	    9.3945	   48.1132	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    2	   56	  0	 5.7462792	   45.6401	   12.7045	   49.3283	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    3	   74	  0	 5.7182193	   45.9940	   14.5412	   49.8560	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    4	   93	  0	 5.6989899	   47.1310	   15.8163	   50.8287	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    5	  110	  0	 5.6740112	   48.2605	   15.9341	   52.2620	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    6	  129	  0	 5.6481032	   52.6054	   16.8885	   58.2162	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    7	  147	  0	 5.6272402	   55.9714	   20.5710	   62.9864	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    8	  166	  0	 5.5937948	   60.1054	   25.7082	   68.5878	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    9	  185	  0	 5.5738087	   62.2741	   29.7617	   70.6692	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   10	  203	  0	 5.5430946	   65.3313	   36.0268	   74.0231	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   11	  221	  0	 5.5196872	   67.5226	   39.9964	   75.8426	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   12	  240	  0	 5.4922476	   70.4744	   48.6673	   78.0838	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   13	  259	  0	 5.4746938	   71.3102	   51.6102	   78.6656	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   14	  278	  0	 5.4523263	   73.5693	   57.6192	   80.4149	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   15	  297	  0	 5.4295855	   75.8283	   61.6039	   82.2897	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   16	  316	  0	 5.4062285	   77.9443	   65.4438	   84.0225	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   17	  335	  0	 5.3920197	   79.3223	   67.3918	   84.7511	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   18	  354	  0	 5.3675375	   81.5286	   72.3113	   86.4378	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   19	  371	  0	 5.3537645	   82.3795	   73.9626	   86.5379	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   20	  390	  0	 5.3379498	   83.9458	   76.8722	   88.0009	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   21	  408	  0	 5.3301048	   84.3148	   78.6074	   88.0215	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   22	  426	  0	 5.3054805	   85.7982	   80.7885	   89.0310	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   23	  445	  0	 5.2948403	   86.4684	   81.8886	   89.4813	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   24	  464	  0	 5.2805700	   87.5377	   83.6250	   90.2962	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   25	  483	  0	 5.2651534	   88.2681	   84.5493	   90.8610	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   26	  502	  0	 5.2537575	   89.0361	   85.2928	   91.3207	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   27	  520	  0	 5.2421484	   89.7741	   86.3690	   91.7446	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   28	  537	  0	 5.2314777	   90.0678	   86.8578	   92.0164	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   29	  556	  0	 5.2293282	   90.6476	   87.8415	   92.4536	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   30	  574	  0	 5.2128792	   91.0090	   88.4839	   92.7735	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   31	  592	  0	 5.2058821	   91.4684	   89.1145	   93.0438	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
