# python main.py -c models/bat25-bid-chu750-dattra-ent-ent-ent-ent-epo200-fol5-gat99-gatrel-gatcos-hid500-sce-nontan-ada-spe150-tokdat-win99--6/logs/4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3.ini
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9936662	    0.2071	    0.0167	    7.4133	  10621	 5.9921374	    0.0752	    0.0115	    6.8671	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    0	   15	  0	 5.8594360	   31.1647	    4.0420	   28.9505	  10621	 5.8995137	   29.8232	    3.2326	   28.7996	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    1	   29	  0	 5.8038592	   38.4898	    8.1185	   39.0865	  10621	 5.8641601	   38.5107	    5.7261	   40.6699	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    2	   44	  0	 5.7603745	   44.1390	   10.8593	   48.1214	  10621	 5.8266716	   44.3776	    6.4611	   50.5401	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    3	   59	  0	 5.7368388	   44.9863	   12.0054	   48.8226	  10621	 5.8111691	   45.7691	    8.8766	   51.5506	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    4	   73	  0	 5.7158456	   45.7866	   13.9918	   49.4214	  10621	 5.8033204	   46.0700	    9.8675	   51.5938	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    5	   88	  0	 5.6915560	   48.0087	   14.6806	   51.9569	  10621	 5.7907929	   48.4393	   11.2159	   54.1780	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    6	  102	  0	 5.6670184	   51.4735	   17.9702	   57.0511	  10621	 5.7825885	   50.6581	   12.6031	   58.3104	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    7	  116	  0	 5.6381860	   53.5354	   19.5592	   59.3617	  10621	 5.7704659	   51.5607	   13.1016	   59.7045	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    8	  130	  0	 5.6107044	   57.2262	   25.3694	   63.9240	  10621	 5.7615137	   53.7420	   14.1492	   63.9629	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
    9	  145	  0	 5.5972557	   59.4859	   29.5666	   66.9806	  10621	 5.7604237	   54.5318	   14.8746	   65.3184	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   10	  159	  0	 5.5688190	   61.4726	   33.2756	   69.1071	  10621	 5.7485609	   55.8105	   16.9065	   66.9715	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   11	  174	  0	 5.5389357	   63.7981	   39.6039	   71.2633	  10621	 5.7371192	   57.3524	   17.7890	   68.8988	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   12	  189	  0	 5.5195618	   66.1143	   44.0334	   73.1846	  10621	 5.7296982	   58.7063	   18.6279	   70.2963	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   13	  204	  0	 5.4902015	   68.6753	   50.0494	   75.9677	  10621	 5.7221584	   60.3986	   20.1972	   72.3503	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   14	  218	  0	 5.4655557	   71.0762	   54.0445	   78.3063	  10621	 5.7167044	   60.9628	   19.5740	   73.9544	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   15	  232	  0	 5.4421349	   72.8368	   57.6201	   79.8837	  10621	 5.7101951	   61.5269	   20.8816	   74.5736	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   16	  247	  0	 5.4245257	   74.3904	   61.7257	   80.6633	  10621	 5.7057638	   62.6927	   20.8159	   75.3169	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   17	  262	  0	 5.4050341	   75.8780	   65.1473	   81.7352	  10621	 5.7040758	   62.3543	   20.2993	   75.3978	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   18	  277	  0	 5.3899879	   77.6386	   67.2844	   82.6854	  10621	 5.6996202	   63.1440	   21.7256	   76.0083	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   19	  292	  0	 5.3736877	   79.0039	   69.3060	   83.8876	  10621	 5.6917892	   63.5953	   22.3710	   77.1070	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   20	  306	  0	 5.3611512	   80.6233	   72.8792	   85.0137	  10621	 5.6887288	   64.5731	   22.7152	   77.3064	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   21	  321	  0	 5.3385653	   82.4499	   74.4901	   86.2541	  10621	 5.6888862	   65.0244	   23.8839	   78.0511	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   22	  336	  0	 5.3233256	   83.4008	   76.8610	   87.0901	  10621	 5.6833177	   65.2877	   22.2243	   78.8340	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   23	  351	  0	 5.3083549	   84.3518	   79.0642	   87.3553	  10621	 5.6812897	   65.4757	   23.7220	   77.6770	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   24	  366	  0	 5.2982364	   85.8488	   80.0126	   88.8194	  10621	 5.6778030	   66.4536	   23.7615	   79.3927	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   25	  381	  0	 5.2863951	   86.2442	   80.2001	   89.0869	  10621	 5.6786132	   66.4159	   24.5289	   79.9645	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   26	  396	  0	 5.2687864	   87.1010	   83.5096	   89.4362	  10621	 5.6740241	   66.4912	   24.6973	   79.0424	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   27	  411	  0	 5.2632208	   87.6000	   84.3533	   89.6559	  10621	 5.6716986	   67.3185	   24.5938	   79.5712	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   28	  426	  0	 5.2497282	   87.9578	   84.2335	   89.7654	  10621	 5.6719007	   66.9801	   25.0735	   79.1173	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   29	  440	  0	 5.2407765	   89.1912	   85.4143	   91.0677	  10621	 5.6717811	   67.4690	   23.7536	   80.2362	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   30	  455	  0	 5.2297301	   89.9068	   85.6266	   91.6204	  10621	 5.6680150	   67.8074	   24.4689	   80.1855	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   31	  469	  0	 5.2179756	   90.1987	   86.9303	   91.5564	  10621	 5.6668735	   67.5818	   24.1780	   79.3380	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   32	  484	  0	 5.2097526	   90.9801	   87.3712	   92.3242	  10621	 5.6642971	   68.5220	   24.2490	   80.5511	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   33	  499	  0	 5.2042599	   91.2249	   87.4740	   92.6292	  10621	 5.6605568	   69.1237	   25.5984	   80.8620	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   34	  514	  0	 5.1970978	   91.2532	   87.8043	   92.5706	  10621	 5.6618509	   68.7100	   25.0740	   80.9763	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   35	  529	  0	 5.1918578	   91.6675	   88.0397	   92.7959	  10621	 5.6603026	   68.7476	   25.2401	   80.7313	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   36	  544	  0	 5.1860876	   92.0064	   88.5696	   93.2024	  10621	 5.6605420	   69.3494	   23.9124	   81.4499	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   37	  559	  0	 5.1819773	   92.3736	   89.6595	   93.3863	  10621	 5.6576362	   69.0861	   25.6093	   80.5226	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   38	  574	  0	 5.1745505	   92.7596	   89.9036	   93.7305	  10621	 5.6570406	   69.4246	   24.2383	   81.5114	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   39	  589	  0	 5.1696982	   93.0986	   89.7580	   94.0833	  10621	 5.6562128	   69.9511	   25.0026	   81.7486	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   40	  603	  0	 5.1633730	   93.1457	   90.2483	   94.0762	  10621	 5.6552973	   69.9135	   25.2253	   81.8266	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   41	  617	  0	 5.1590862	   93.6635	   90.5407	   94.5327	  10621	 5.6500144	   69.7255	   24.5266	   81.0659	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   42	  632	  0	 5.1544280	   93.5223	   90.7838	   94.4328	  10621	 5.6514745	   70.4024	   26.0410	   81.9832	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   43	  647	  0	 5.1507058	   93.9365	   91.3220	   94.6872	  10621	 5.6508894	   69.9135	   25.5688	   81.3205	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   44	  661	  0	 5.1461368	   94.2378	   91.7238	   95.0047	  10621	 5.6494732	   70.5528	   24.9864	   82.2245	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
   45	  676	  0	 5.1467009	   94.4638	   92.5349	   95.0909	  10621	 5.6530929	   69.3118	   23.3079	   80.5513	   2659	4--claT-dro0.2-dro0.0-entsta-entT-lea0.0-wei4.3
