# python main.py -c models/attNon-bat25-bid-chu750-cla-datdat-dro0.0-entdyn-entdat-ent-ent-ent-ent-ent-epo80-fol1-foldat-gatNon-gatrel-gatcos-hid500-lea0.0-sce-nontan-nonNon-ada-spe150-tokdat-vocdat-wei1.0-winNon/logs/fixed--1.ini
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9993348	    0.0678	    0.0264	    7.2086	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    0	   19	  0	 5.6987920	   41.1446	    5.4452	   44.9255	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    1	   37	  0	 5.5906358	   43.9985	   10.9114	   47.5935	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    2	   56	  0	 5.4993391	   46.2425	   13.5097	   49.6237	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    3	   75	  0	 5.4347992	   47.9970	   16.1796	   51.2170	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    4	   93	  0	 5.3702421	   48.2831	   18.1770	   51.4678	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    5	  112	  0	 5.3281102	   50.8509	   18.7338	   55.2638	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    6	  131	  0	 5.2867990	   54.3901	   19.9300	   58.8907	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    7	  150	  0	 5.2228575	   57.5979	   26.9263	   62.7125	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    8	  169	  0	 5.1746955	   60.8358	   30.0278	   66.4106	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
    9	  187	  0	 5.1254869	   64.0738	   34.8563	   69.3430	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   10	  206	  0	 5.0775037	   67.1084	   40.0984	   72.4869	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   11	  223	  0	 5.0272636	   67.1611	   44.1194	   72.2899	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   12	  242	  0	 4.9828796	   70.7605	   49.2047	   77.7526	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   13	  261	  0	 4.9333262	   73.0422	   53.3003	   79.1539	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   14	  280	  0	 4.8891006	   74.5858	   57.7299	   81.0147	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   15	  299	  0	 4.8374128	   76.3630	   61.1125	   81.9475	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   16	  318	  0	 4.7945647	   78.3735	   66.8164	   83.8386	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   17	  337	  0	 4.7650976	   80.2485	   68.8676	   85.6846	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   18	  355	  0	 4.7275100	   82.2816	   71.7408	   86.6120	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
   19	  373	  0	 4.7041574	   83.1250	   72.4445	   87.2825	  13280	-1.0000000	   -1.0000	   -1.0000	   -1.0000	     -1	fixed--1                      
