# python main.py -c models/bat25-bid-chu750-dattra-ent-ent-ent-ent-epo200-fol5-gat99-gatrel-gatcos-hid500-sce-nontan-ada-spe150-tokdat-win99--1/logs/6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0.ini
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   -1	    0	  0	 5.9953260	    0.2071	    0.0470	    7.2584	  10621	 5.9877548	    0.2256	    0.2442	    6.8279	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    0	   15	  0	 5.7057171	   39.7232	    4.2648	   43.1607	  10621	 5.7623496	   40.9929	    3.3810	   44.6747	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    1	   29	  0	 5.5743303	   43.8565	   11.2855	   47.7407	  10621	 5.6864128	   43.6630	    6.9160	   48.6793	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    2	   43	  0	 5.4892955	   44.8169	   14.2507	   48.1969	  10621	 5.6444812	   44.3024	    7.9653	   48.9620	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    3	   58	  0	 5.4216137	   46.9918	   16.1034	   49.7884	  10621	 5.6126828	   44.7161	    9.2567	   49.6865	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    4	   73	  0	 5.3773422	   47.8486	   17.9464	   51.0531	  10621	 5.5879288	   45.9195	    9.5320	   51.7132	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    5	   87	  0	 5.3234591	   48.6677	   17.9267	   51.8935	  10621	 5.5709100	   46.1828	   10.6948	   52.1995	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    6	  102	  0	 5.2756333	   51.2193	   19.4313	   54.4709	  10621	 5.5515966	   49.4171	   11.2656	   55.5599	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    7	  117	  0	 5.2308369	   55.5221	   20.8161	   59.4626	  10621	 5.5349174	   53.4035	   12.3583	   59.7369	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    8	  131	  0	 5.1764450	   58.6480	   27.4864	   63.9659	  10621	 5.5190449	   54.5694	   13.4765	   62.9580	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
    9	  146	  0	 5.1180553	   62.1787	   31.0344	   67.4367	  10621	 5.4944081	   57.0139	   13.8175	   65.8104	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   10	  161	  0	 5.0666580	   65.0786	   36.3416	   70.9049	  10621	 5.4767952	   58.4806	   14.6667	   68.4006	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   11	  176	  0	 5.0204730	   66.7545	   38.8247	   72.7974	  10621	 5.4611211	   60.0226	   14.7766	   69.9761	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   12	  190	  0	 4.9726124	   71.0385	   47.6953	   77.9494	  10621	 5.4431796	   61.7149	   15.6498	   73.6934	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   13	  205	  0	 4.9274025	   71.2551	   50.0625	   76.9089	  10621	 5.4275184	   61.3765	   16.4575	   72.4745	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   14	  220	  0	 4.8871217	   74.0608	   54.3589	   78.9377	  10621	 5.4127946	   62.5799	   17.5544	   73.6265	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   15	  234	  0	 4.8483524	   76.2452	   60.1618	   82.6484	  10621	 5.4040570	   62.9184	   18.0882	   75.6968	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   16	  249	  0	 4.8083429	   77.9023	   61.5528	   82.7998	  10621	 5.3859425	   63.5577	   18.2068	   75.2424	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
   17	  264	  0	 4.7693753	   80.1902	   65.5506	   85.1657	  10621	 5.3691769	   64.3851	   19.7256	   76.8889	   2659	6--claT-dro0.0-dro0.0-entdyn-entT-lea0.0-wei1.0
