,all tokens,all pronouns,1st person,2nd person,3rd person,proper nouns,common nouns
ENTNET_acc_all,77.480,79.216,97.774,69.322,28.077,81.028,47.826
ENTNET_acc_main,83.903,84.722,99.443,71.239,58.846,87.747,66.667
ENTNET_f1_all,52.519,48.802,86.884,45.895,19.424,76.159,31.995
ENTNET_f1_main,84.751,85.498,99.427,71.490,31.060,86.292,60.446

ENTNET_ens_acc_all,79.745,81.746,98.423,74.484,31.538,80.632,50.725
ENTNET_ens_acc_main,85.220,86.359,99.536,75.959,58.846,86.561,67.391
ENTNET_ens_f1_all,54.952,52.992,92.028,47.889,25.431,72.061,37.021
ENTNET_ens_f1_main,86.362,87.329,99.528,76.460,33.476,85.805,63.681

BILSTM_acc_all,74.557,77.133,95.083,71.386,17.692,71.146,44.203
BILSTM_acc_main,83.491,84.127,98.701,75.369,46.538,88.933,63.043
BILSTM_f1_all,34.351,36.109,64.493,36.039,12.912,41.867,26.870
BILSTM_f1_main,84.983,85.393,98.728,76.257,24.137,88.899,59.893

BILSTM_ens_acc_all,75.545,77.927,94.898,72.419,21.923,73.913,45.652
BILSTM_ens_acc_main,82.009,83.185,98.145,74.336,44.231,83.794,61.594
BILSTM_ens_f1_all,34.380,34.370,59.176,31.537,16.335,44.232,31.780
BILSTM_ens_f1_main,83.857,84.648,98.205,75.298,19.478,83.909,60.135

ENTLIB_acc_all,77.604,79.464,97.681,68.142,33.462,79.447,49.275
ENTLIB_acc_main,84.232,84.871,99.165,70.796,62.308,87.352,70.290
ENTLIB_f1_all,49.565,49.409,85.192,42.114,26.929,68.801,34.923
ENTLIB_f1_main,84.857,85.346,99.177,69.713,35.700,86.491,66.254

ENTLIB_ens_acc_all,79.333,81.200,98.052,71.681,36.154,79.842,52.899
ENTLIB_ens_acc_main,84.644,85.516,99.258,73.009,61.154,86.166,70.290
ENTLIB_ens_f1_all,54.644,53.108,90.304,46.738,29.620,70.001,40.288
ENTLIB_ens_f1_main,85.570,86.273,99.255,72.983,37.512,85.611,66.411
