SEId	SEName	Wikia_title	WikiaCharName
5	Alan	Alan	Alan
250	Monica's grandmother	Althea	Althea
17	Angela Delvecchio	Angela Delveccio	Angela Delveccio
18	Annabelle	Annabel	Annabel
23	Aunt Lillian	Aunt Lillian	Aunt Lillian
25	Aunt Syl	Aunt Sylvia	Aunt Sylvia
26	Aurora	Aurora	Aurora
28	Barbara	Barbara Burke	Barbara Burke
29	Barry	Barry Farber	Barry Farber
30	Ben	Ben Geller	Ben
42	Bob	Bob (Chandler's coworker)	Bob
35	Big Bully	Carl (bully)	Carl
51	Carol	Carol Willick	Carol Willick
54	Caroline	Caroline Duffy	Caroline Duffy
57	Cathy Bates	Cathy	Cathy
59	Chandler Bing	Chandler Bing	Chandler Bing
67	Charles Bing	Charles Bing	Charles Bing
73	Dan	Dan	Dan
74	Dana	Dana Keystone	Dana
79	David	David	David
212	Lipson	Dean Lipson	Dean Lipson
99	Dr. Oberman	Dr Oberman	Dr. Oberman
96	Dr. Franzblau	Dr. Franzblau	Dr. Franzblau
105	Duncan	Duncan	Duncan Sullivan
108	Eddie	Eddie Menuek	Eddie Menuek
121	Estelle	Estelle Leonard	Estelle Leonard
123	Ethan	Ethan	Ethan
126	Fake Monica	Fake Monica	Fake Monica
144	Grandmother	Frances	Frances
132	Frank Buffay	Frank Buffay Sr.	Frank Buffay
134	Frannie	Franny	Franny
136	Fun Bobby	Fun Bobby	Fun Bobby
143	Gloria Tribbiani	Gloria Tribbiani	Gloria Tribbiani
145	Gunther	Gunther	Gunther
153	Howard	Howard	Howard
163	Jack Geller	Jack Geller	Jack Geller
164	Jade	Jade	Jade
168	Janice	Janice Litman Goralnik	Janice
388	Van Damme	Jean-Claude Van Damme	Jean-Claude Van Damme
175	Jill	Jill Goodacre	Jill Goodacre
176	Jill Green	Jill Green	Jill Green
183	Joey Tribbiani	Joey Tribbiani Jr.	Joey Tribbiani Jr.
184	Joey Tribbiani Sr.	Joey Tribbiani Sr.	Joey Tribbiani Sr.
195	Judy Geller	Judy Geller	Judy Geller
197	Julie	Julie	Julie
201	Kip	Kip	Kip
205	Mr. Green	Leonard Green	Dr. Leonard Green
207	Leslie	Leslie	Leslie
210	Lily Buffay	Lily Buffay	Lily Buffay
214	Lizzie	Lizzy	Lizzy
219	Lowell	Lowell	Lowell
220	Luisa	Luisa	Luisa
222	Lydia	Lydia	Lydia
230	Marcel	Marcel	Marcel
236	Max	Max	Max
237	Melanie	Melanie	Melanie
239	Michael	Michael	Michael
240	Michelle	Michelle	Michelle
242	Mindy	Mindy Hunter	Mindy Hunter-Farber
248	Monica Geller	Monica Geller-Bing	Monica Geller
258	Mr. Heckles	Mr. Heckles	Mr. Heckles
264	Mr. Treeger	Mr. Treeger	Mr. Treeger
267	Mrs. Adelman	Mrs Adelman	Rose Adelman
269	Mrs. Buffay	Mrs. Buffay (Frank Sr.'s second wife)	Mrs. Buffay
280	Nina Bookbinder	Nina Bookbinder	Nina Bookbinder
268	Mrs. Bing	Nora Tyler Bing	Nora Tyler Bing
282	Nurse	Nurse Sizemore	Dora Sizemore
283	Paolo	Paolo	Paolo
284	Paul	Paul the Wine Guy	Paul The Wine Guy
286	Paula	Paula	Paula
292	Phoebe Buffay	Phoebe Buffay	Phoebe Buffay-Hannigan
302	Phoebe's stepfather	Phoebe's stepfather	Unnamed character
306	Rachel Green	Rachel Green	Rachel Karen Green-Geller
318	Richard	Richard Burke	Richard Burke
320	Rick	Rick	Rick
324	Robbie	Robbie	Robbie
329	Roger	Roger	Roger
332	Ronni Rappelano	Ronni Rapalono	Ronni Rapalono
335	Ross Geller	Ross Geller	Ross Geller
338	Russ	Russ	Russ
339	Ryan	Ryan	Ryan
340	Sandra Green	Sandra Green	Sandra Green
354	Stephanie	Stephanie	Stephanie Schiffer
355	Steve	Steven Fisher	Steven Fisher
358	Susan	Susan Bunch	Susan Bunch
360	Susie	Susie Moss	Susie Moss
364	Terry	Terry	Terry
169	Janitor	The Zoo Employee	The Zoo Employee
367	Tilly	Tilly	Tilly
152	Hombre Man	Todd, the Hombre Man	The Hombre Man
372	Tony	Tony	Tony
380	Ugly Naked Guy	Ugly Naked Guy	Ugly Naked Guy
383	Uncle Sal	Uncle Sal	Sal
400	Young Ethan	Young Ethan	Ethan
